group,position_bp,cluster0_density,cluster1_density,cluster0_total,cluster1_total,n_sequences_in_group
Age 0,530,1.580207375881295e-05,0.0002459444860415882,24680305,40952331,114910
Age 0,531,1.588311003449917e-05,0.0002459444860415882,24680305,40952331,114910
Age 0,532,1.5923628172342278e-05,0.0002459689046760244,24680305,40952331,114910
Age 0,533,1.5923628172342278e-05,0.0002458468115038433,24680305,40952331,114910
Age 0,534,1.5923628172342278e-05,0.00024579797423497087,24680305,40952331,114910
Age 0,535,1.5964146310185387e-05,0.00024587123013827957,24680305,40952331,114910
Age 0,536,1.5964146310185387e-05,0.00024589564877271577,24680305,40952331,114910
Age 0,537,1.5964146310185387e-05,0.0002459444860415882,24680305,40952331,114910
Age 0,538,1.5964146310185387e-05,0.00024587123013827957,24680305,40952331,114910
Age 0,539,1.5964146310185387e-05,0.00024589564877271577,24680305,40952331,114910
Age 0,540,1.5964146310185387e-05,0.0002457735556005347,24680305,40952331,114910
Age 0,541,1.5964146310185387e-05,0.0002457491369660985,24680305,40952331,114910
Age 0,542,1.5923628172342278e-05,0.0002456514624283536,24680305,40952331,114910
Age 0,543,1.5923628172342278e-05,0.0002455293692561725,24680305,40952331,114910
Age 0,544,1.5964146310185387e-05,0.0002454072760839914,24680305,40952331,114910
Age 0,545,1.60046644480285e-05,0.0002453828574495552,24680305,40952331,114910
Age 0,546,1.60046644480285e-05,0.00024545611335286384,24680305,40952331,114910
Age 0,547,1.60046644480285e-05,0.00024533402018068275,24680305,40952331,114910
Age 0,548,1.60046644480285e-05,0.0002452607642773741,24680305,40952331,114910
Age 0,549,1.60046644480285e-05,0.000245138671105193,24680305,40952331,114910
Age 0,550,1.60046644480285e-05,0.00024518750837406546,24680305,40952331,114910
Age 0,551,1.604518258587161e-05,0.00024508983383632056,24680305,40952331,114910
Age 0,552,1.60046644480285e-05,0.00024508983383632056,24680305,40952331,114910
Age 0,553,1.60046644480285e-05,0.00024504099656744816,24680305,40952331,114910
Age 0,554,1.60046644480285e-05,0.00024491890339526707,24680305,40952331,114910
Age 0,555,1.60046644480285e-05,0.0002448700661263946,24680305,40952331,114910
Age 0,556,1.604518258587161e-05,0.0002447723915886497,24680305,40952331,114910
Age 0,557,1.604518258587161e-05,0.00024482122885752217,24680305,40952331,114910
Age 0,558,1.604518258587161e-05,0.0002446991356853411,24680305,40952331,114910
Age 0,559,1.604518258587161e-05,0.0002448700661263946,24680305,40952331,114910
Age 0,560,1.604518258587161e-05,0.0002447723915886497,24680305,40952331,114910
Age 0,561,1.608570072371472e-05,0.00024465029841646863,24680305,40952331,114910
Age 0,562,1.612621886155783e-05,0.00024460146114759624,24680305,40952331,114910
Age 0,563,1.612621886155783e-05,0.00024452820524428754,24680305,40952331,114910
Age 0,564,1.612621886155783e-05,0.00024457704251316,24680305,40952331,114910
Age 0,565,1.612621886155783e-05,0.00024462587978203243,24680305,40952331,114910
Age 0,566,1.620725513724405e-05,0.00024452820524428754,24680305,40952331,114910
Age 0,567,1.620725513724405e-05,0.0002446991356853411,24680305,40952331,114910
Age 0,568,1.624777327508716e-05,0.00024462587978203243,24680305,40952331,114910
Age 0,569,1.624777327508716e-05,0.00024457704251316,24680305,40952331,114910
Age 0,570,1.624777327508716e-05,0.00024465029841646863,24680305,40952331,114910
Age 0,571,1.628829141293027e-05,0.0002446991356853411,24680305,40952331,114910
Age 0,572,1.628829141293027e-05,0.0002447479729542135,24680305,40952331,114910
Age 0,573,1.628829141293027e-05,0.000244796810223086,24680305,40952331,114910
Age 0,574,1.628829141293027e-05,0.00024482122885752217,24680305,40952331,114910
Age 0,575,1.628829141293027e-05,0.0002447479729542135,24680305,40952331,114910
Age 0,576,1.628829141293027e-05,0.00024472355431977733,24680305,40952331,114910
Age 0,577,1.632880955077338e-05,0.00024472355431977733,24680305,40952331,114910
Age 0,578,1.632880955077338e-05,0.00024482122885752217,24680305,40952331,114910
Age 0,579,1.632880955077338e-05,0.00024494332202970327,24680305,40952331,114910
Age 0,580,1.636932768861649e-05,0.0002448944847608308,24680305,40952331,114910
Age 0,581,1.636932768861649e-05,0.00024472355431977733,24680305,40952331,114910
Age 0,582,1.64098458264596e-05,0.0002446747170509049,24680305,40952331,114910
Age 0,583,1.636932768861649e-05,0.0002446991356853411,24680305,40952331,114910
Age 0,584,1.636932768861649e-05,0.000244796810223086,24680305,40952331,114910
Age 0,585,1.64098458264596e-05,0.00024484564749195837,24680305,40952331,114910
Age 0,586,1.64098458264596e-05,0.00024496774066413946,24680305,40952331,114910
Age 0,587,1.64098458264596e-05,0.00024504099656744816,24680305,40952331,114910
Age 0,588,1.64098458264596e-05,0.00024491890339526707,24680305,40952331,114910
Age 0,589,1.64098458264596e-05,0.00024496774066413946,24680305,40952331,114910
Age 0,590,1.64098458264596e-05,0.0002451142524707568,24680305,40952331,114910
Age 0,591,1.64098458264596e-05,0.0002451630897396292,24680305,40952331,114910
Age 0,592,1.636932768861649e-05,0.00024508983383632056,24680305,40952331,114910
Age 0,593,1.64098458264596e-05,0.00024491890339526707,24680305,40952331,114910
Age 0,594,1.64098458264596e-05,0.00024491890339526707,24680305,40952331,114910
Age 0,595,1.64098458264596e-05,0.00024491890339526707,24680305,40952331,114910
Age 0,596,1.645036396430271e-05,0.00024482122885752217,24680305,40952331,114910
Age 0,597,1.649088210214582e-05,0.0002448700661263946,24680305,40952331,114910
Age 0,598,1.653140023998893e-05,0.0002448944847608308,24680305,40952331,114910
Age 0,599,1.653140023998893e-05,0.0002448944847608308,24680305,40952331,114910
Age 0,600,1.653140023998893e-05,0.0002448944847608308,24680305,40952331,114910
Age 0,601,1.653140023998893e-05,0.0002447479729542135,24680305,40952331,114910
Age 0,602,1.645036396430271e-05,0.0002447723915886497,24680305,40952331,114910
Age 0,603,1.645036396430271e-05,0.0002447723915886497,24680305,40952331,114910
Age 0,604,1.645036396430271e-05,0.00024484564749195837,24680305,40952331,114910
Age 0,605,1.645036396430271e-05,0.00024482122885752217,24680305,40952331,114910
Age 0,606,1.649088210214582e-05,0.0002447723915886497,24680305,40952331,114910
Age 0,607,1.649088210214582e-05,0.000244796810223086,24680305,40952331,114910
Age 0,608,1.649088210214582e-05,0.00024482122885752217,24680305,40952331,114910
Age 0,609,1.649088210214582e-05,0.00024484564749195837,24680305,40952331,114910
Age 0,610,1.649088210214582e-05,0.000244796810223086,24680305,40952331,114910
Age 0,611,1.649088210214582e-05,0.00024472355431977733,24680305,40952331,114910
Age 0,612,1.649088210214582e-05,0.00024482122885752217,24680305,40952331,114910
Age 0,613,1.649088210214582e-05,0.00024472355431977733,24680305,40952331,114910
Age 0,614,1.649088210214582e-05,0.0002446747170509049,24680305,40952331,114910
Age 0,615,1.649088210214582e-05,0.00024472355431977733,24680305,40952331,114910
Age 0,616,1.649088210214582e-05,0.0002448700661263946,24680305,40952331,114910
Age 0,617,1.649088210214582e-05,0.00024484564749195837,24680305,40952331,114910
Age 0,618,1.653140023998893e-05,0.00024484564749195837,24680305,40952331,114910
Age 0,619,1.653140023998893e-05,0.00024491890339526707,24680305,40952331,114910
Age 0,620,1.653140023998893e-05,0.00024484564749195837,24680305,40952331,114910
Age 0,621,1.6571918377832042e-05,0.0002448700661263946,24680305,40952331,114910
Age 0,622,1.6571918377832042e-05,0.00024484564749195837,24680305,40952331,114910
Age 0,623,1.6571918377832042e-05,0.00024472355431977733,24680305,40952331,114910
Age 0,624,1.6571918377832042e-05,0.00024482122885752217,24680305,40952331,114910
Age 0,625,1.661243651567515e-05,0.00024484564749195837,24680305,40952331,114910
Age 0,626,1.661243651567515e-05,0.0002448944847608308,24680305,40952331,114910
Age 0,627,1.661243651567515e-05,0.00024484564749195837,24680305,40952331,114910
Age 0,628,1.661243651567515e-05,0.00024504099656744816,24680305,40952331,114910
Age 0,629,1.661243651567515e-05,0.0002451142524707568,24680305,40952331,114910
Age 0,630,1.661243651567515e-05,0.00024508983383632056,24680305,40952331,114910
Age 0,631,1.665295465351826e-05,0.00024508983383632056,24680305,40952331,114910
Age 0,632,1.665295465351826e-05,0.00024508983383632056,24680305,40952331,114910
Age 0,633,1.665295465351826e-05,0.00024506541520188436,24680305,40952331,114910
Age 0,634,1.665295465351826e-05,0.0002451630897396292,24680305,40952331,114910
Age 0,635,1.665295465351826e-05,0.00024508983383632056,24680305,40952331,114910
Age 0,636,1.661243651567515e-05,0.00024508983383632056,24680305,40952331,114910
Age 0,637,1.661243651567515e-05,0.00024504099656744816,24680305,40952331,114910
Age 0,638,1.661243651567515e-05,0.00024508983383632056,24680305,40952331,114910
Age 0,639,1.661243651567515e-05,0.00024494332202970327,24680305,40952331,114910
Age 0,640,1.669347279136137e-05,0.00024494332202970327,24680305,40952331,114910
Age 0,641,1.669347279136137e-05,0.00024491890339526707,24680305,40952331,114910
Age 0,642,1.669347279136137e-05,0.00024482122885752217,24680305,40952331,114910
Age 0,643,1.669347279136137e-05,0.00024482122885752217,24680305,40952331,114910
Age 0,644,1.669347279136137e-05,0.00024472355431977733,24680305,40952331,114910
Age 0,645,1.673399092920448e-05,0.00024465029841646863,24680305,40952331,114910
Age 0,646,1.673399092920448e-05,0.0002447723915886497,24680305,40952331,114910
Age 0,647,1.6774509067047592e-05,0.0002447723915886497,24680305,40952331,114910
Age 0,648,1.6774509067047592e-05,0.0002448700661263946,24680305,40952331,114910
Age 0,649,1.6774509067047592e-05,0.00024484564749195837,24680305,40952331,114910
Age 0,650,1.68150272048907e-05,0.00024484564749195837,24680305,40952331,114910
Age 0,651,1.68150272048907e-05,0.0002448944847608308,24680305,40952331,114910
Age 0,652,1.685554534273381e-05,0.0002448700661263946,24680305,40952331,114910
Age 0,653,1.685554534273381e-05,0.00024484564749195837,24680305,40952331,114910
Age 0,654,1.685554534273381e-05,0.0002448700661263946,24680305,40952331,114910
Age 0,655,1.685554534273381e-05,0.0002450165779330119,24680305,40952331,114910
Age 0,656,1.68150272048907e-05,0.0002449921592985757,24680305,40952331,114910
Age 0,657,1.68150272048907e-05,0.0002450165779330119,24680305,40952331,114910
Age 0,658,1.685554534273381e-05,0.0002449921592985757,24680305,40952331,114910
Age 0,659,1.685554534273381e-05,0.0002450165779330119,24680305,40952331,114910
Age 0,660,1.6936581618420033e-05,0.00024496774066413946,24680305,40952331,114910
Age 0,661,1.6936581618420033e-05,0.00024496774066413946,24680305,40952331,114910
Age 0,662,1.6977099756263143e-05,0.00024506541520188436,24680305,40952331,114910
Age 0,663,1.7017617894106252e-05,0.00024506541520188436,24680305,40952331,114910
Age 0,664,1.7017617894106252e-05,0.0002451142524707568,24680305,40952331,114910
Age 0,665,1.7017617894106252e-05,0.000245138671105193,24680305,40952331,114910
Age 0,666,1.7017617894106252e-05,0.00024521192700850165,24680305,40952331,114910
Age 0,667,1.7017617894106252e-05,0.00024521192700850165,24680305,40952331,114910
Age 0,668,1.7017617894106252e-05,0.0002451142524707568,24680305,40952331,114910
Age 0,669,1.7017617894106252e-05,0.0002451142524707568,24680305,40952331,114910
Age 0,670,1.6977099756263143e-05,0.0002451630897396292,24680305,40952331,114910
Age 0,671,1.6977099756263143e-05,0.0002450165779330119,24680305,40952331,114910
Age 0,672,1.6977099756263143e-05,0.00024484564749195837,24680305,40952331,114910
Age 0,673,1.7017617894106252e-05,0.000244796810223086,24680305,40952331,114910
Age 0,674,1.7017617894106252e-05,0.0002447723915886497,24680305,40952331,114910
Age 0,675,1.7017617894106252e-05,0.0002448700661263946,24680305,40952331,114910
Age 0,676,1.7017617894106252e-05,0.00024491890339526707,24680305,40952331,114910
Age 0,677,1.7017617894106252e-05,0.00024504099656744816,24680305,40952331,114910
Age 0,678,1.7017617894106252e-05,0.00024504099656744816,24680305,40952331,114910
Age 0,679,1.7017617894106252e-05,0.00024494332202970327,24680305,40952331,114910
Age 0,680,1.7017617894106252e-05,0.0002448700661263946,24680305,40952331,114910
Age 0,681,1.7017617894106252e-05,0.00024491890339526707,24680305,40952331,114910
Age 0,682,1.7017617894106252e-05,0.0002450165779330119,24680305,40952331,114910
Age 0,683,1.7017617894106252e-05,0.00024494332202970327,24680305,40952331,114910
Age 0,684,1.709865416979247e-05,0.00024491890339526707,24680305,40952331,114910
Age 0,685,1.709865416979247e-05,0.0002450165779330119,24680305,40952331,114910
Age 0,686,1.709865416979247e-05,0.0002450165779330119,24680305,40952331,114910
Age 0,687,1.709865416979247e-05,0.00024506541520188436,24680305,40952331,114910
Age 0,688,1.7139172307635584e-05,0.00024494332202970327,24680305,40952331,114910
Age 0,689,1.7139172307635584e-05,0.000244796810223086,24680305,40952331,114910
Age 0,690,1.7139172307635584e-05,0.0002448944847608308,24680305,40952331,114910
Age 0,691,1.7139172307635584e-05,0.00024482122885752217,24680305,40952331,114910
Age 0,692,1.7139172307635584e-05,0.00024484564749195837,24680305,40952331,114910
Age 0,693,1.7139172307635584e-05,0.00024494332202970327,24680305,40952331,114910
Age 0,694,1.7139172307635584e-05,0.0002448944847608308,24680305,40952331,114910
Age 0,695,1.7179690445478693e-05,0.00024496774066413946,24680305,40952331,114910
Age 0,696,1.7139172307635584e-05,0.00024496774066413946,24680305,40952331,114910
Age 0,697,1.709865416979247e-05,0.00024496774066413946,24680305,40952331,114910
Age 0,698,1.709865416979247e-05,0.0002450165779330119,24680305,40952331,114910
Age 0,699,1.709865416979247e-05,0.00024494332202970327,24680305,40952331,114910
Age 0,700,1.709865416979247e-05,0.0002450165779330119,24680305,40952331,114910
Age 0,701,1.709865416979247e-05,0.00024506541520188436,24680305,40952331,114910
Age 0,702,1.709865416979247e-05,0.0002450165779330119,24680305,40952331,114910
Age 0,703,1.709865416979247e-05,0.00024494332202970327,24680305,40952331,114910
Age 0,704,1.7179690445478693e-05,0.0002450165779330119,24680305,40952331,114910
Age 0,705,1.7179690445478693e-05,0.00024521192700850165,24680305,40952331,114910
Age 0,706,1.7179690445478693e-05,0.00024521192700850165,24680305,40952331,114910
Age 0,707,1.7179690445478693e-05,0.00024533402018068275,24680305,40952331,114910
Age 0,708,1.7220208583321802e-05,0.00024533402018068275,24680305,40952331,114910
Age 0,709,1.7220208583321802e-05,0.00024530960154624655,24680305,40952331,114910
Age 0,710,1.7220208583321802e-05,0.0002452607642773741,24680305,40952331,114910
Age 0,711,1.7220208583321802e-05,0.0002452851829118103,24680305,40952331,114910
Age 0,712,1.7220208583321802e-05,0.00024518750837406546,24680305,40952331,114910
Age 0,713,1.7179690445478693e-05,0.0002452607642773741,24680305,40952331,114910
Age 0,714,1.7179690445478693e-05,0.0002452363456429379,24680305,40952331,114910
Age 0,715,1.7179690445478693e-05,0.0002452607642773741,24680305,40952331,114910
Age 0,716,1.7220208583321802e-05,0.0002452851829118103,24680305,40952331,114910
Age 0,717,1.7260726721164912e-05,0.00024530960154624655,24680305,40952331,114910
Age 0,718,1.7260726721164912e-05,0.00024530960154624655,24680305,40952331,114910
Age 0,719,1.7260726721164912e-05,0.00024530960154624655,24680305,40952331,114910
Age 0,720,1.730124485900802e-05,0.00024518750837406546,24680305,40952331,114910
Age 0,721,1.7341762996851134e-05,0.00024533402018068275,24680305,40952331,114910
Age 0,722,1.7341762996851134e-05,0.00024545611335286384,24680305,40952331,114910
Age 0,723,1.730124485900802e-05,0.00024545611335286384,24680305,40952331,114910
Age 0,724,1.730124485900802e-05,0.00024545611335286384,24680305,40952331,114910
Age 0,725,1.730124485900802e-05,0.00024545611335286384,24680305,40952331,114910
Age 0,726,1.730124485900802e-05,0.0002455049506217363,24680305,40952331,114910
Age 0,727,1.730124485900802e-05,0.00024545611335286384,24680305,40952331,114910
Age 0,728,1.7341762996851134e-05,0.00024555378789060874,24680305,40952331,114910
Age 0,729,1.7341762996851134e-05,0.0002455049506217363,24680305,40952331,114910
Age 0,730,1.730124485900802e-05,0.00024543169471842764,24680305,40952331,114910
Age 0,731,1.730124485900802e-05,0.00024545611335286384,24680305,40952331,114910
Age 0,732,1.730124485900802e-05,0.00024543169471842764,24680305,40952331,114910
Age 0,733,1.730124485900802e-05,0.0002454072760839914,24680305,40952331,114910
Age 0,734,1.730124485900802e-05,0.00024543169471842764,24680305,40952331,114910
Age 0,735,1.730124485900802e-05,0.000245358438815119,24680305,40952331,114910
Age 0,736,1.730124485900802e-05,0.00024543169471842764,24680305,40952331,114910
Age 0,737,1.730124485900802e-05,0.0002452851829118103,24680305,40952331,114910
Age 0,738,1.730124485900802e-05,0.0002453828574495552,24680305,40952331,114910
Age 0,739,1.730124485900802e-05,0.00024530960154624655,24680305,40952331,114910
Age 0,740,1.730124485900802e-05,0.0002453828574495552,24680305,40952331,114910
Age 0,741,1.7341762996851134e-05,0.0002453828574495552,24680305,40952331,114910
Age 0,742,1.7341762996851134e-05,0.00024533402018068275,24680305,40952331,114910
Age 0,743,1.7341762996851134e-05,0.00024533402018068275,24680305,40952331,114910
Age 0,744,1.7341762996851134e-05,0.00024533402018068275,24680305,40952331,114910
Age 0,745,1.7341762996851134e-05,0.00024530960154624655,24680305,40952331,114910
Age 0,746,1.7341762996851134e-05,0.00024543169471842764,24680305,40952331,114910
Age 0,747,1.7341762996851134e-05,0.0002454072760839914,24680305,40952331,114910
Age 0,748,1.7341762996851134e-05,0.00024545611335286384,24680305,40952331,114910
Age 0,749,1.7341762996851134e-05,0.0002454072760839914,24680305,40952331,114910
Age 0,750,1.7341762996851134e-05,0.00024543169471842764,24680305,40952331,114910
Age 0,751,1.7341762996851134e-05,0.00024545611335286384,24680305,40952331,114910
Age 0,752,1.7341762996851134e-05,0.0002455293692561725,24680305,40952331,114910
Age 0,753,1.7382281134694243e-05,0.00024555378789060874,24680305,40952331,114910
Age 0,754,1.7382281134694243e-05,0.00024548053198730004,24680305,40952331,114910
Age 0,755,1.7422799272537353e-05,0.0002453828574495552,24680305,40952331,114910
Age 0,756,1.7422799272537353e-05,0.0002455049506217363,24680305,40952331,114910
Age 0,757,1.7422799272537353e-05,0.0002454072760839914,24680305,40952331,114910
Age 0,758,1.7422799272537353e-05,0.0002452851829118103,24680305,40952331,114910
Age 0,759,1.7422799272537353e-05,0.00024543169471842764,24680305,40952331,114910
Age 0,760,1.7463317410380462e-05,0.00024548053198730004,24680305,40952331,114910
Age 0,761,1.7422799272537353e-05,0.00024545611335286384,24680305,40952331,114910
Age 0,762,1.7422799272537353e-05,0.00024545611335286384,24680305,40952331,114910
Age 0,763,1.7463317410380462e-05,0.0002454072760839914,24680305,40952331,114910
Age 0,764,1.7422799272537353e-05,0.0002455293692561725,24680305,40952331,114910
Age 0,765,1.7422799272537353e-05,0.00024557820652504494,24680305,40952331,114910
Age 0,766,1.7382281134694243e-05,0.00024557820652504494,24680305,40952331,114910
Age 0,767,1.7341762996851134e-05,0.0002455049506217363,24680305,40952331,114910
Age 0,768,1.7382281134694243e-05,0.0002456514624283536,24680305,40952331,114910
Age 0,769,1.7382281134694243e-05,0.0002457247183316622,24680305,40952331,114910
Age 0,770,1.7382281134694243e-05,0.0002456514624283536,24680305,40952331,114910
Age 0,771,1.7382281134694243e-05,0.00024570029969722603,24680305,40952331,114910
Age 0,772,1.7382281134694243e-05,0.0002457247183316622,24680305,40952331,114910
Age 0,773,1.7382281134694243e-05,0.0002456514624283536,24680305,40952331,114910
Age 0,774,1.7382281134694243e-05,0.00024560262515948113,24680305,40952331,114910
Age 0,775,1.7382281134694243e-05,0.00024567588106278983,24680305,40952331,114910
Age 0,776,1.7382281134694243e-05,0.00024560262515948113,24680305,40952331,114910
Age 0,777,1.7382281134694243e-05,0.0002456270437939174,24680305,40952331,114910
Age 0,778,1.7382281134694243e-05,0.00024560262515948113,24680305,40952331,114910
Age 0,779,1.7382281134694243e-05,0.0002455049506217363,24680305,40952331,114910
Age 0,780,1.7422799272537353e-05,0.00024548053198730004,24680305,40952331,114910
Age 0,781,1.7422799272537353e-05,0.0002455049506217363,24680305,40952331,114910
Age 0,782,1.7382281134694243e-05,0.00024543169471842764,24680305,40952331,114910
Age 0,783,1.7382281134694243e-05,0.0002454072760839914,24680305,40952331,114910
Age 0,784,1.7382281134694243e-05,0.0002453828574495552,24680305,40952331,114910
Age 0,785,1.7382281134694243e-05,0.00024543169471842764,24680305,40952331,114910
Age 0,786,1.7382281134694243e-05,0.0002454072760839914,24680305,40952331,114910
Age 0,787,1.7382281134694243e-05,0.0002454072760839914,24680305,40952331,114910
Age 0,788,1.7422799272537353e-05,0.00024543169471842764,24680305,40952331,114910
Age 0,789,1.7422799272537353e-05,0.0002455049506217363,24680305,40952331,114910
Age 0,790,1.7422799272537353e-05,0.00024548053198730004,24680305,40952331,114910
Age 0,791,1.7382281134694243e-05,0.00024543169471842764,24680305,40952331,114910
Age 0,792,1.7422799272537353e-05,0.000245358438815119,24680305,40952331,114910
Age 0,793,1.7463317410380462e-05,0.0002454072760839914,24680305,40952331,114910
Age 0,794,1.7503835548223575e-05,0.00024533402018068275,24680305,40952331,114910
Age 0,795,1.7422799272537353e-05,0.0002453828574495552,24680305,40952331,114910
Age 0,796,1.7422799272537353e-05,0.00024533402018068275,24680305,40952331,114910
Age 0,797,1.7422799272537353e-05,0.00024521192700850165,24680305,40952331,114910
Age 0,798,1.7422799272537353e-05,0.0002452607642773741,24680305,40952331,114910
Age 0,799,1.7422799272537353e-05,0.0002452851829118103,24680305,40952331,114910
Age 0,800,1.7422799272537353e-05,0.0002452607642773741,24680305,40952331,114910
Age 0,801,1.7422799272537353e-05,0.0002452363456429379,24680305,40952331,114910
Age 0,802,1.7463317410380462e-05,0.0002452851829118103,24680305,40952331,114910
Age 0,803,1.7463317410380462e-05,0.0002454072760839914,24680305,40952331,114910
Age 0,804,1.7463317410380462e-05,0.0002454072760839914,24680305,40952331,114910
Age 0,805,1.7463317410380462e-05,0.0002454072760839914,24680305,40952331,114910
Age 0,806,1.7463317410380462e-05,0.00024545611335286384,24680305,40952331,114910
Age 0,807,1.7463317410380462e-05,0.0002455293692561725,24680305,40952331,114910
Age 0,808,1.7503835548223575e-05,0.00024570029969722603,24680305,40952331,114910
Age 0,809,1.7503835548223575e-05,0.00024567588106278983,24680305,40952331,114910
Age 0,810,1.7503835548223575e-05,0.0002456514624283536,24680305,40952331,114910
Age 0,811,1.7503835548223575e-05,0.00024567588106278983,24680305,40952331,114910
Age 0,812,1.7503835548223575e-05,0.00024570029969722603,24680305,40952331,114910
Age 0,813,1.7503835548223575e-05,0.0002457735556005347,24680305,40952331,114910
Age 0,814,1.7503835548223575e-05,0.0002458223928694071,24680305,40952331,114910
Age 0,815,1.7544353686066684e-05,0.0002458223928694071,24680305,40952331,114910
Age 0,816,1.7544353686066684e-05,0.0002458468115038433,24680305,40952331,114910
Age 0,817,1.7544353686066684e-05,0.0002458223928694071,24680305,40952331,114910
Age 0,818,1.7544353686066684e-05,0.00024587123013827957,24680305,40952331,114910
Age 0,819,1.7584871823909794e-05,0.0002457735556005347,24680305,40952331,114910
Age 0,820,1.7584871823909794e-05,0.0002458468115038433,24680305,40952331,114910
Age 0,821,1.7584871823909794e-05,0.0002459444860415882,24680305,40952331,114910
Age 0,822,1.7584871823909794e-05,0.0002459689046760244,24680305,40952331,114910
Age 0,823,1.7544353686066684e-05,0.0002460665792137693,24680305,40952331,114910
Age 0,824,1.7544353686066684e-05,0.0002461154164826417,24680305,40952331,114910
Age 0,825,1.7544353686066684e-05,0.0002460909978482055,24680305,40952331,114910
Age 0,826,1.7544353686066684e-05,0.0002459689046760244,24680305,40952331,114910
Age 0,827,1.7584871823909794e-05,0.0002458468115038433,24680305,40952331,114910
Age 0,828,1.7625389961752903e-05,0.0002459689046760244,24680305,40952331,114910
Age 0,829,1.7584871823909794e-05,0.00024604216057933306,24680305,40952331,114910
Age 0,830,1.7584871823909794e-05,0.00024601774194489686,24680305,40952331,114910
Age 0,831,1.7584871823909794e-05,0.00024604216057933306,24680305,40952331,114910
Age 0,832,1.7625389961752903e-05,0.0002460909978482055,24680305,40952331,114910
Age 0,833,1.7706426237439125e-05,0.00024616425375151416,24680305,40952331,114910
Age 0,834,1.7665908099596013e-05,0.0002462375096548228,24680305,40952331,114910
Age 0,835,1.7665908099596013e-05,0.0002463351841925677,24680305,40952331,114910
Age 0,836,1.7665908099596013e-05,0.00024643285873031254,24680305,40952331,114910
Age 0,837,1.7746944375282235e-05,0.00024653053326805744,24680305,40952331,114910
Age 0,838,1.7746944375282235e-05,0.000246481695999185,24680305,40952331,114910
Age 0,839,1.7746944375282235e-05,0.0002464572773647488,24680305,40952331,114910
Age 0,840,1.7787462513125344e-05,0.00024626192828925905,24680305,40952331,114910
Age 0,841,1.7868498788811563e-05,0.00024643285873031254,24680305,40952331,114910
Age 0,842,1.7868498788811563e-05,0.000246481695999185,24680305,40952331,114910
Age 0,843,1.7868498788811563e-05,0.00024650611463362124,24680305,40952331,114910
Age 0,844,1.7827980650968454e-05,0.0002466037891713661,24680305,40952331,114910
Age 0,845,1.7868498788811563e-05,0.0002466037891713661,24680305,40952331,114910
Age 0,846,1.7868498788811563e-05,0.00024662820780580233,24680305,40952331,114910
Age 0,847,1.7868498788811563e-05,0.00024650611463362124,24680305,40952331,114910
Age 0,848,1.7949535064497785e-05,0.0002465793705369299,24680305,40952331,114910
Age 0,849,1.7990053202340895e-05,0.0002465793705369299,24680305,40952331,114910
Age 0,850,1.7990053202340895e-05,0.0002466037891713661,24680305,40952331,114910
